Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-964.3335	-1030.571	66.23717	0.5776956	0.8227517	0.943523	0.0564766	2.799735
6	-963.8339	-1030.317	66.48343	0.3274663	1.073295	0.893151	0.106849	2.641844
12	-960.0725	-1026.951	66.87898	0.5251447	1.045579	0.885162	0.114838	2.28621
18	-962.5402	-1029.651	67.11126	0.5642147	1.037831	0.9717	0.0283002	2.115486
24	-964.2918	-1031.403	67.11126	0.5642147	1.037831	0.974021	0.0259789	2.115486
30	-980.7361	-1048.63	67.89355	0.8771394	0.8116235	0.971414	0.0285864	1.524293
36	-969.1782	-1036.312	67.1336	0.7066088	1.619321	0.952822	0.0471778	1.681429
42	-972.0702	-1039.238	67.16787	0.7129679	0.9954892	0.876321	0.123679	2.007531
48	-961.5097	-1028.846	67.33629	0.7231213	1.144955	0.944038	0.0559615	1.789734
54	-968.6142	-1036.002	67.38797	0.701245	0.9845641	0.930045	0.0699548	1.874587
60	-959.4064	-1026.967	67.5606	0.7332131	0.797288	0.949632	0.0503677	1.874587
66	-962.169	-1030.084	67.91504	0.9074402	0.9589273	0.966321	0.0336785	1.360948
72	-962.023	-1029.992	67.96913	1.071836	0.7185207	0.956286	0.0437141	1.405347
78	-962.8595	-1030.881	68.02155	1.103959	1.033829	0.956286	0.0437141	1.034955
84	-961.8935	-1029.744	67.85006	0.9086199	0.9564068	0.795496	0.204504	1.412866
90	-956.6686	-1024.223	67.55411	0.9086199	0.9526077	0.948295	0.0517046	1.636179
96	-961.8592	-1029.68	67.82037	0.9392492	0.8159705	0.950755	0.0492453	1.528755
102	-958.5907	-1027.142	68.55177	1.145811	0.6574552	0.94917	0.0508302	0.8874271
108	-970.501	-1038.552	68.05064	1.300381	0.590167	0.926165	0.0738348	1.298699
114	-969.3514	-1036.81	67.45834	0.7611157	0.6006899	0.989458	0.0105421	2.096161
120	-960.4314	-1028.337	67.90594	0.8719029	0.9772917	0.948058	0.0519419	1.381264
126	-950.3431	-1017.921	67.57807	0.8719029	1.341992	0.940657	0.0593426	1.381264
132	-968.9912	-1035.772	66.78108	0.8719029	1.287574	0.971392	0.0286084	1.982568
138	-956.1486	-1022.975	66.82631	0.7684137	0.68052	0.948338	0.0516623	2.426235
