Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-964.3335	-1030.571	66.23717	0.00769798	0.0143412	0.0217809	0.0198648	0.0631705	0.00918297	0.000693979	0.0909977	0.00682069	0.026853	0.0909634	0.00146189	0.0067349	0.00466846	0.0204111	0.0353179	0.0193809	0.0362615	0.00819339	0.0470989	0.00103904	0.0576778	0.045564	0.0438209	0.0004687	0.0033939	0.00629483	0.0189421	0.0387087	0.0245626	0.202206	0.00772992	0.00570551	0.0485824	0.12534	0.0753232	0.0451042	0.0212297	0.327357	0.0724461	0.0847402	0.183104	0.286692	0.0536551	0.11082	0.0846153	0.163888	0.0252109	0.103617	0.692114	1.57729	0.449801	0.677294	0.885535	1.12926	1.47646	2.2232	0.5776956	0.8227517	0.00274954	0.00512233	0.00777963	0.00709526	0.022563	0.00327994	0.000247873	0.0325022	0.00243619	0.00959128	0.03249	0.000522152	0.00240555	0.00166747	0.00729036	0.0126147	0.00692239	0.0129518	0.00292649	0.0168226	0.000371122	0.0206012	0.0162744	0.0156518	0.000167409	0.00121222	0.00224837	0.00676569	0.0138258	0.00877318	0.0722234	0.00276095	0.00203787	0.0173525	0.0447686	0.0269037	0.0161102	0.00758274	0.116924	0.0258761	0.0302672	0.0654005	0.1024	0.0191644	0.0395823	0.0302226	0.0585371	0.00900474	0.0370094	0.943523	0.0564766	0.9435234	2.799735
36	-969.1782	-1036.312	67.1336	0.00813647	0.0214213	0.0104405	0.0211413	0.0312328	0.0253191	0.0107562	0.0786013	0.0125051	0.0147052	0.00703877	0.00470018	0.00235765	0.013355	5.22459e-05	0.0117106	0.00626097	0.0104436	0.0091545	0.0455499	0.00570307	0.0197996	0.0307476	0.0140684	0.00243631	0.0304769	0.0423014	0.130228	0.0740665	0.0177329	0.0290667	0.0645947	0.0880019	0.0800193	0.0117133	0.0142888	0.0746019	0.00207885	0.0432635	0.010576	0.109309	0.219381	0.00480779	0.0410057	0.0763227	0.0503081	0.034555	0.0060392	0.00905254	0.94794	1.09761	0.37635	0.620891	0.861836	1.16031	1.61059	2.6571	0.7066088	1.619321	0.00483902	0.0127399	0.00620931	0.0125734	0.0185752	0.0150581	0.00639704	0.0467467	0.00743716	0.00874564	0.00418618	0.00279535	0.00140217	0.00794266	3.10723e-05	0.00696466	0.0037236	0.00621113	0.00544448	0.02709	0.0033918	0.0117755	0.0182866	0.00836692	0.00144895	0.0181256	0.025158	0.077451	0.0440497	0.0105463	0.0172869	0.0384165	0.0523375	0.04759	0.00696627	0.00849799	0.0443682	0.00123636	0.0257302	0.0062899	0.0650095	0.130473	0.00285935	0.0243874	0.0453916	0.0299198	0.020551	0.0035917	0.00538384	0.952822	0.0471778	0.9528222	1.681429
72	-962.023	-1029.992	67.96913	0.00562615	0.00293908	0.0019468	0.00404268	0.0358854	0.00391046	0.0159212	0.0603035	0.00104082	0.0445829	0.0101296	0.0124812	0.0119662	0.0172616	0.00782113	0.00798137	4.53994e-05	0.0219019	0.00355359	0.0443846	0.0142865	0.0366301	0.0115114	0.00221087	0.0104462	0.00490619	0.0419058	0.0674853	0.0640258	0.0110665	0.00943072	0.0180519	0.00163446	5.21126e-05	0.0174097	0.0468641	0.133687	0.0881271	0.00579743	0.0507982	0.0686151	0.014438	0.0912493	0.0199917	0.036652	0.0878881	0.0217003	0.0428872	0.0718721	0.641093	1.67295	0.227105	0.485322	0.798081	1.253	2.06049	4.40325	1.071836	0.7185207	0.00400339	0.00209135	0.00138528	0.00287664	0.0255349	0.00278256	0.011329	0.04291	0.000740616	0.0317238	0.00720792	0.00888126	0.00851478	0.0122828	0.00556527	0.00567929	3.23048e-05	0.0155847	0.00252862	0.0315826	0.0101658	0.0260648	0.00819116	0.00157318	0.00743321	0.00349109	0.0298188	0.0480204	0.0455587	0.00787457	0.0067106	0.0128451	0.00116303	3.70816e-05	0.0123882	0.033347	0.0951274	0.0627085	0.00412527	0.0361464	0.0488243	0.0102736	0.0649301	0.0142255	0.0260804	0.0625384	0.0154412	0.0305171	0.0511419	0.956286	0.0437141	0.9562859	1.405347
108	-970.501	-1038.552	68.05064	0.0162886	0.00463602	7.21905e-05	0.00527368	0.0343475	0.00970738	0.00819977	0.0629708	0.00101483	0.0101979	0.021504	0.00236199	0.000390326	0.00762449	0.00206666	0.00721858	0.00263423	0.0315846	0.00107732	0.0154878	0.064004	0.00946246	0.00510902	0.0159483	0.00523648	0.0131079	0.0142778	0.0425776	0.0284936	0.0267154	0.0444487	0.156737	0.0640244	0.0766351	0.018245	0.0485377	0.0812868	0.00464287	0.0217978	0.0218126	0.0385825	0.114851	0.00585158	0.0505971	0.0502488	0.00388716	0.0100787	0.00512931	0.0117136	0.569074	1.80799	0.16556	0.41599	0.760608	1.31474	2.4039	6.04009	1.300381	0.590167	0.0125423	0.00356974	5.55868e-05	0.00406074	0.0264476	0.00747469	0.00631383	0.0484876	0.000781423	0.00785243	0.0165581	0.00181874	0.000300552	0.00587087	0.00159133	0.00555831	0.00202836	0.0243202	0.000829536	0.0119256	0.0492832	0.0072861	0.00393395	0.0122802	0.0040321	0.0100931	0.0109939	0.0327848	0.0219401	0.0205709	0.0342256	0.120688	0.0492988	0.0590091	0.0140486	0.0373741	0.0625909	0.00357501	0.0167843	0.0167958	0.0297085	0.0884353	0.00450572	0.0389598	0.0386916	0.00299312	0.00776058	0.00394957	0.00901946	0.926165	0.0738348	0.9261652	1.298699
144	-955.9691	-1023.682	67.71279	0.0593899	0.0149208	0.00781706	0.0118689	0.0427681	0.0039597	0.0174596	0.103628	0.00149929	0.0180596	0.0304442	0.0020954	0.00188096	0.00583192	0.00206707	0.0200619	0.00226423	0.0239961	0.00718224	0.00412506	0.0269965	0.0354043	0.0094076	0.032543	0.00178669	0.0217129	0.063218	0.0984448	0.0725351	0.0114782	0.0495738	0.0785149	0.0788211	0.107398	0.0215588	0.0309968	0.0805151	0.0152444	0.0699305	0.033905	0.148894	0.238927	0.00195247	0.0787389	0.0645214	0.015408	0.0162215	0.032924	0.05361	0.598856	1.75214	0.414841	0.651089	0.8747	1.14325	1.53589	2.41056	0.6361987	0.6408467	0.0301089	0.00756438	0.00396302	0.00601719	0.0216821	0.00200745	0.0088515	0.0525361	0.000760096	0.00915567	0.0154343	0.00106231	0.000953593	0.00295661	0.00104794	0.0101708	0.00114789	0.0121653	0.00364118	0.00209128	0.0136864	0.0179489	0.00476938	0.0164983	0.000905801	0.0110078	0.0320496	0.0499086	0.0367731	0.00581911	0.0251324	0.0398047	0.03996	0.0544475	0.0109297	0.0157144	0.0408188	0.00772847	0.0354527	0.0171888	0.0754848	0.121129	0.000989846	0.0399183	0.0327104	0.00781138	0.00822379	0.0166915	0.0271787	0.955183	0.0448166	0.9551834	1.972502
180	-955.8951	-1023.414	67.51864	0.00922756	0.00905377	0.00802943	0.0085497	0.0351113	0.00213531	0.0139646	0.0594764	0.000928816	0.0440139	0.073082	0.00130356	0.00396014	0.00779105	0.00447168	0.0407822	0.000451363	0.0060577	0.00819013	0.0877491	0.0116957	0.00934353	0.000562295	0.0164076	0.000270848	0.0108368	0.0542033	0.0570068	0.0775606	0.0393663	0.0603851	0.111507	0.0733495	0.0962135	0.0285561	0.0331994	0.065427	0.00137021	0.0676431	0.0397422	0.0683151	0.27152	0.0042663	0.02453	0.0720825	0.0182015	0.0191319	0.0234007	0.0488953	0.730332	1.50563	0.372075	0.617441	0.860339	1.16233	1.61959	2.68763	0.7148687	0.9095033	0.00504426	0.00494925	0.0043893	0.0046737	0.0191936	0.00116727	0.00763374	0.0325129	0.000507739	0.0240603	0.0399504	0.000712591	0.00216482	0.00425899	0.00244445	0.0222936	0.000246738	0.00331145	0.00447714	0.0479682	0.00639345	0.00510765	0.000307379	0.00896926	0.00014806	0.00592395	0.0296303	0.0311629	0.0423986	0.0215196	0.0330096	0.0609555	0.0400966	0.0525952	0.0156103	0.0181485	0.0357657	0.000749026	0.0369772	0.0217251	0.0373445	0.148427	0.00233218	0.0134093	0.039404	0.00994989	0.0104585	0.012792	0.0267287	0.887523	0.112477	0.8875231	1.829319
216	-954.8563	-1022.898	68.04126	0.0424442	0.0041614	0.0105413	0.0122286	0.0242724	0.00635904	0.00153219	0.0562569	0.000110026	0.029591	0.00849268	0.00288966	0.00643769	0.00467315	0.0044578	0.0139707	0.00019778	0.00794209	0.0118931	0.00874524	0.0296921	0.00657239	0.000959578	0.00147893	0.000611772	0.00798644	0.0168678	0.0501436	0.0137005	0.019469	0.0413029	0.0913355	0.0505568	0.0760764	0.00206329	0.0193676	0.0456078	0.00401769	0.0442035	0.0263214	0.0577317	0.0846499	0.00587045	0.0361155	0.0363505	0.0154935	0.0152291	0.00904342	0.0143832	0.754376	1.46054	0.217922	0.47565	0.793085	1.2609	2.10239	4.5888	1.101682	0.9684439	0.0392857	0.00385173	0.00975682	0.0113186	0.0224662	0.00588582	0.00141817	0.0520705	0.000101838	0.0273889	0.00786069	0.00267462	0.00595863	0.0043254	0.00412607	0.012931	0.000183062	0.00735107	0.011008	0.00809445	0.0274826	0.0060833	0.00088817	0.00136888	0.000566246	0.00739212	0.0156126	0.0464121	0.012681	0.0180202	0.0382293	0.0845387	0.0467946	0.0704151	0.00190975	0.0179264	0.0422138	0.00371871	0.040914	0.0243626	0.0534356	0.0783506	0.0054336	0.033428	0.0336454	0.0143405	0.0140958	0.00837045	0.0133128	0.949633	0.0503671	0.9496329	1.080399
252	-970.4796	-1037.618	67.13871	0.0328119	0.00126948	0.0173912	0.00463844	0.0355129	0.0152027	0.000432004	0.0912633	0.00034806	0.0245066	0.0647491	0.00309768	0.00606246	0.00557001	0.00193439	0.0284557	0.00238423	0.011612	0.0253067	0.0196201	0.0149753	0.0137892	0.000328107	0.00721893	0.00987398	0.0130197	0.0137783	0.061177	0.0319518	0.00816572	0.0407762	0.0565928	0.0627527	0.10185	0.0108065	0.0119624	0.0610591	0.00672879	0.0571286	0.0346515	0.0764515	0.110513	0.00839779	0.106871	0.0397297	0.00856463	0.0203885	0.0017362	0.0653151	0.999428	1.00107	0.307415	0.562552	0.835709	1.19659	1.77761	3.25293	0.8529	1.871921	0.0226489	0.000876276	0.0120045	0.00320175	0.0245133	0.0104939	0.000298197	0.0629957	0.000240253	0.016916	0.0446939	0.00213821	0.00418469	0.00384477	0.00133524	0.0196419	0.00164575	0.00801531	0.0174683	0.013543	0.0103369	0.00951819	0.00022648	0.00498296	0.00681564	0.008987	0.00951068	0.0422282	0.0220551	0.0056365	0.0281463	0.0390639	0.0433158	0.0703034	0.00745934	0.00825721	0.0421468	0.00464464	0.0394338	0.0239187	0.0527717	0.0762829	0.00579668	0.073769	0.027424	0.00591185	0.0140734	0.00119843	0.0450846	0.97309	0.0269096	0.9730904	1.448723
288	-963.2592	-1031.107	67.84761	0.00658873	0.00936251	0.00298953	0.0157795	0.0332591	0.00506559	0.000674085	0.0696041	0.000591295	0.0540429	0.0137555	0.0116298	0.00434443	0.00395446	0.00457502	0.0314404	0.000161361	0.0284601	0.00583006	0.0209002	0.00123477	0.00382926	0.0155201	0.0221553	0.004197	0.00739519	0.011427	0.0554592	0.0502128	0.0286585	0.077294	0.022421	0.128455	0.10084	0.0192814	0.00765541	0.0505091	0.00288115	0.0645646	0.0295457	0.11788	0.175635	0.00318604	0.0410008	0.0520094	0.0281212	0.0122133	0.00121146	0.0641613	0.689576	1.58205	0.280314	0.537793	0.824056	1.21351	1.85945	3.56743	0.919631	0.8172673	0.0043291	0.0061516	0.00196426	0.0103678	0.0218527	0.00332833	0.000442905	0.0457331	0.000388508	0.0355087	0.00903799	0.00764133	0.00285449	0.00259826	0.003006	0.0206578	0.000106021	0.0186996	0.00383062	0.0137324	0.000811299	0.002516	0.0101974	0.0145571	0.00275762	0.00485898	0.00750805	0.0364393	0.0329921	0.01883	0.0507857	0.0147316	0.0844007	0.0662563	0.0126688	0.00502995	0.0331868	0.00189305	0.0424219	0.0194129	0.0774528	0.1154	0.00209338	0.0269394	0.0341726	0.0184769	0.00802469	0.000795986	0.0421569	0.947604	0.0523959	0.9476041	1.521963
324	-951.5382	-1018.261	66.72297	0.00696635	0.0179489	0.0151836	0.0248157	0.0463828	0.00218065	0.00312552	0.0989711	0.00609483	0.0646454	0.034665	0.00296501	0.00602976	0.0120196	0.00806457	0.0387883	0.00787077	0.0318931	0.0103456	0.0184614	0.031458	0.015152	0.0408023	0.0036627	0.000914211	0.0127793	0.091171	0.188353	0.0730008	0.0556325	0.0759915	0.0975418	0.15453	0.161018	0.050553	0.0352661	0.0779578	0.00154925	0.122507	0.0361114	0.140532	0.213489	0.00837366	0.0644589	0.113605	0.0139137	0.00962058	0.00307506	0.244196	0.802773	1.3698	0.823617	0.909702	0.970906	1.02997	1.09926	1.21416	0.1403111	1.098844	0.00268491	0.0069177	0.00585193	0.00956423	0.0178764	0.000840447	0.00120461	0.0381445	0.00234901	0.024915	0.0133603	0.00114275	0.00232394	0.00463247	0.00310817	0.0149494	0.00303348	0.0122919	0.00398733	0.00711521	0.0121243	0.00583973	0.0157256	0.00141164	0.000352347	0.00492527	0.0351383	0.0725932	0.0281353	0.0214414	0.0292879	0.0375937	0.0595576	0.0620582	0.0194837	0.0135919	0.0300458	0.000597097	0.0472157	0.0139177	0.0541627	0.0822809	0.0032273	0.0248432	0.0437844	0.00536249	0.00370788	0.00118516	0.0941158	0.965412	0.0345883	0.9654117	2.594634
